subject_id,label_name,label_code,channel,n_epochs,mean_uv,std_uv,median_p2p_uv,mean_p2p_uv,max_p2p_uv,mean_rms_uv,max_abs_uv,flat_epochs_p2p_lt_1,high_epochs_p2p_gt_200,high_epochs_p2p_gt_300,high_epochs_p2p_gt_500,high_epochs_p2p_gt_1000,pct_high_epochs_p2p_gt_300
0,severe,2,0,598,0.02379043772816658,32.7008171081543,107.01400756835938,144.42239379882812,1616.3870849609375,26.350727081298828,1259.6932373046875,0,136,13,4,2,2.1739130434782608
0,severe,2,1,598,0.010763715021312237,27.723255157470703,63.77119445800781,107.36219787597656,367.74432373046875,22.215879440307617,237.730224609375,0,97,2,0,0,0.33444816053511706
0,severe,2,2,598,0.00965613592416048,6.880430221557617,35.26545715332031,37.2987174987793,94.47293090820312,6.63485050201416,60.2859992980957,0,0,0,0,0,0.0
0,severe,2,3,598,0.00146258354652673,6.514348030090332,30.264610290527344,33.15788269042969,77.76923370361328,6.195953369140625,58.08112716674805,0,0,0,0,0,0.0
0,severe,2,4,598,0.0035706148482859135,4.808234214782715,23.844188690185547,25.236141204833984,67.323974609375,4.662897109985352,54.779579162597656,0,0,0,0,0,0.0
0,severe,2,5,598,-0.006462983787059784,4.839227199554443,23.67154312133789,24.97022247314453,74.92230987548828,4.668139457702637,61.267330169677734,0,0,0,0,0,0.0
0,severe,2,6,598,-0.0058057294227182865,6.720741271972656,32.187232971191406,34.7514762878418,86.99703979492188,6.3016510009765625,63.88816452026367,0,0,0,0,0,0.0
0,severe,2,7,598,-0.002043794607743621,6.465294361114502,31.747413635253906,33.433998107910156,83.8062744140625,6.133344650268555,64.79934692382812,0,0,0,0,0,0.0
0,severe,2,8,598,-0.006299207452684641,9.329238891601562,44.53838348388672,49.558170318603516,150.93177795410156,8.611576080322266,87.46768951416016,0,0,0,0,0,0.0
0,severe,2,9,598,-0.00618844386190176,8.542695045471191,36.87176513671875,43.872493743896484,117.34652709960938,7.8264265060424805,82.63436889648438,0,0,0,0,0,0.0
0,severe,2,10,598,0.006540886126458645,10.479812622070312,40.97606658935547,45.536258697509766,278.84503173828125,8.863578796386719,154.9009246826172,0,2,0,0,0,0.0
0,severe,2,11,598,0.00786774791777134,10.652626991271973,48.81714630126953,50.2243537902832,137.0855255126953,9.908594131469727,101.12704467773438,0,0,0,0,0,0.0
0,severe,2,12,598,0.002609108341857791,7.033517360687256,32.56671905517578,36.03212356567383,77.91458129882812,6.687751293182373,53.041439056396484,0,0,0,0,0,0.0
0,severe,2,13,598,-0.006468919571489096,6.667254447937012,29.69420051574707,32.49690246582031,95.95391845703125,6.196710586547852,59.69478988647461,0,0,0,0,0,0.0
0,severe,2,14,598,0.00047779333544895053,8.93570613861084,46.326873779296875,50.411128997802734,112.44664001464844,8.543195724487305,65.30233001708984,0,0,0,0,0,0.0
0,severe,2,15,598,-0.006270509213209152,7.5182647705078125,32.08155059814453,38.13641357421875,116.04916381835938,6.896792888641357,70.993896484375,0,0,0,0,0,0.0
0,severe,2,16,598,0.009844322688877583,5.954444408416748,29.785327911376953,31.27274513244629,75.48513793945312,5.768222332000732,58.06463623046875,0,0,0,0,0,0.0
0,severe,2,17,598,-0.003868292085826397,5.768855094909668,29.70937728881836,30.190452575683594,79.18153381347656,5.649839878082275,62.31462478637695,0,0,0,0,0,0.0
0,severe,2,18,598,-0.00822005420923233,6.944787502288818,34.738243103027344,35.838035583496094,84.55811309814453,6.639098167419434,67.96232604980469,0,0,0,0,0,0.0
0,severe,2,19,598,-0.0053028748370707035,10.785903930664062,44.7275276184082,52.78565216064453,241.1866912841797,9.329442024230957,155.23269653320312,0,2,0,0,0,0.0
0,severe,2,20,598,-0.013720673508942127,10.470105171203613,44.97001647949219,52.17646408081055,159.54769897460938,9.385871887207031,100.14183044433594,0,0,0,0,0,0.0
0,severe,2,21,598,0.002516898326575756,9.382430076599121,35.33784484863281,44.19552230834961,141.93515014648438,8.387837409973145,88.18408203125,0,0,0,0,0,0.0
0,severe,2,22,598,-0.006413365714251995,6.4862589836120605,33.00074005126953,33.780155181884766,77.92799377441406,6.270761489868164,64.87937927246094,0,0,0,0,0,0.0
0,severe,2,23,598,-0.002035394310951233,7.139197826385498,32.25906753540039,36.48245620727539,99.85550689697266,6.601101875305176,63.64756774902344,0,0,0,0,0,0.0
1,moderate,1,0,604,0.011217869818210602,10.278318405151367,41.8213996887207,45.43535232543945,276.4900817871094,8.550501823425293,142.33926391601562,0,2,0,0,0,0.0
1,moderate,1,1,604,0.010786863043904305,10.302803993225098,37.00969696044922,41.547401428222656,293.3822021484375,7.948641777038574,147.90464782714844,0,2,0,0,0,0.0
1,moderate,1,2,604,-0.0013653939822688699,7.526095390319824,40.277992248535156,41.08415985107422,69.98884582519531,7.4332380294799805,36.27134704589844,0,0,0,0,0,0.0
1,moderate,1,3,604,-0.007537335157394409,9.435184478759766,51.73939514160156,52.7758903503418,118.80841827392578,9.33850383758545,76.28801727294922,0,0,0,0,0,0.0
1,moderate,1,4,604,0.0038273599930107594,5.541274547576904,29.746719360351562,30.36400604248047,50.65559387207031,5.460963249206543,27.99358558654785,0,0,0,0,0,0.0
1,moderate,1,5,604,-0.001569782616570592,6.153173923492432,30.912322998046875,32.894161224365234,125.93419647216797,5.928959846496582,75.3550033569336,0,0,0,0,0,0.0
1,moderate,1,6,604,0.0015485892072319984,6.991926670074463,29.8425350189209,34.0135383605957,93.89875793457031,6.486324310302734,50.05912399291992,0,0,0,0,0,0.0
1,moderate,1,7,604,-0.001305600511841476,7.543999671936035,33.58281326293945,37.186378479003906,97.70872497558594,7.054014682769775,54.588138580322266,0,0,0,0,0,0.0
1,moderate,1,8,604,-0.0030289478600025177,5.367473602294922,26.982524871826172,28.70578956604004,87.68285369873047,5.047888278961182,48.194618225097656,0,0,0,0,0,0.0
1,moderate,1,9,604,-0.002332796808332205,6.282015323638916,32.43819046020508,33.46449661254883,96.0977783203125,6.009791851043701,49.18002700805664,0,0,0,0,0,0.0
1,moderate,1,10,604,-0.0019445810467004776,7.218845844268799,36.45672607421875,37.712371826171875,106.62893676757812,6.932315826416016,57.747310638427734,0,0,0,0,0,0.0
1,moderate,1,11,604,0.0005118699045851827,8.200912475585938,40.492095947265625,42.902931213378906,130.5374298095703,7.8268866539001465,80.05545806884766,0,0,0,0,0,0.0
1,moderate,1,12,604,-0.004242056515067816,6.218494415283203,32.78218078613281,34.20695495605469,76.18502807617188,6.083102703094482,48.50566864013672,0,0,0,0,0,0.0
1,moderate,1,13,604,-0.0004636830708477646,7.349997043609619,39.298004150390625,40.64861297607422,115.71380615234375,7.2031660079956055,76.31726837158203,0,0,0,0,0,0.0
1,moderate,1,14,604,-0.005679490976035595,8.090675354003906,43.946598052978516,44.979034423828125,96.98036193847656,7.929629325866699,49.9957389831543,0,0,0,0,0,0.0
