subject_id,label_name,label_code,channel,n_epochs,mean_uv,std_uv,median_p2p_uv,mean_p2p_uv,max_p2p_uv,mean_rms_uv,max_abs_uv,flat_epochs_p2p_lt_1,high_epochs_p2p_gt_200,high_epochs_p2p_gt_300,high_epochs_p2p_gt_500,high_epochs_p2p_gt_1000,pct_high_epochs_p2p_gt_300
0,severe,2,0,299,0.018827039748430252,34.241920471191406,190.70703125,181.41949462890625,310.5317077636719,31.877288818359375,255.7307586669922,0,129,6,0,0,2.0066889632107023
0,severe,2,1,299,-0.01678902842104435,34.79317092895508,173.70980834960938,154.5762176513672,275.555419921875,31.24927520751953,233.75929260253906,0,90,0,0,0,0.0
0,severe,2,2,299,0.016278956085443497,7.198722839355469,40.74140167236328,41.241031646728516,85.36308288574219,7.039511680603027,51.87833023071289,0,0,0,0,0,0.0
0,severe,2,3,299,-0.006043616216629744,7.281518459320068,38.72016143798828,37.86167526245117,66.82474517822266,6.954629898071289,45.07866287231445,0,0,0,0,0,0.0
0,severe,2,4,299,0.010031675919890404,5.180459499359131,27.876022338867188,27.57164192199707,44.417659759521484,5.025946140289307,31.543895721435547,0,0,0,0,0,0.0
0,severe,2,5,299,-0.01416731346398592,4.958732604980469,25.143234252929688,25.938709259033203,45.33378601074219,4.823293685913086,31.055665969848633,0,0,0,0,0,0.0
0,severe,2,6,299,-0.008174540475010872,7.535030364990234,40.656394958496094,39.56119918823242,78.00059509277344,7.133419990539551,50.35719680786133,0,0,0,0,0,0.0
0,severe,2,7,299,-0.003531545400619507,6.911376476287842,36.59342956542969,36.20633316040039,64.99468231201172,6.607010841369629,44.96956253051758,0,0,0,0,0,0.0
0,severe,2,8,299,-0.003642492927610874,10.362318992614746,56.699241638183594,56.336761474609375,150.93177795410156,9.655274391174316,87.46768951416016,0,0,0,0,0,0.0
0,severe,2,9,299,-0.0028930979315191507,9.703497886657715,55.11555099487305,53.2763671875,113.50029754638672,9.221039772033691,82.63436889648438,0,0,0,0,0,0.0
0,severe,2,10,299,0.027386056259274483,8.723220825195312,37.487281799316406,43.159156799316406,123.92515563964844,7.889244079589844,99.24757385253906,0,0,0,0,0,0.0
0,severe,2,11,299,-0.0008263328927569091,11.452427864074707,55.76972198486328,55.33932113647461,137.0855255126953,10.491838455200195,101.12704467773438,0,0,0,0,0,0.0
0,severe,2,12,299,0.017248913645744324,7.8942670822143555,43.9423828125,41.67156219482422,65.28772735595703,7.571812629699707,47.562313079833984,0,0,0,0,0,0.0
0,severe,2,13,299,-0.011087179183959961,7.024775981903076,34.85832595825195,35.310516357421875,74.23552703857422,6.654169082641602,43.257232666015625,0,0,0,0,0,0.0
0,severe,2,14,299,0.008841942064464092,9.728133201599121,57.655452728271484,56.00303268432617,112.44664001464844,9.352507591247559,63.512489318847656,0,0,0,0,0,0.0
0,severe,2,15,299,-0.004215928725898266,8.607044219970703,47.13264846801758,46.32490921020508,86.12013244628906,8.173419952392578,66.12969207763672,0,0,0,0,0,0.0
0,severe,2,16,299,0.01823955960571766,6.106236457824707,32.506919860839844,32.86725616455078,56.19304656982422,5.953543186187744,36.49764633178711,0,0,0,0,0,0.0
0,severe,2,17,299,-0.004441359546035528,5.683730125427246,30.279354095458984,29.951847076416016,46.814117431640625,5.555282115936279,34.11979675292969,0,0,0,0,0,0.0
0,severe,2,18,299,-0.010390144772827625,7.330386161804199,38.991943359375,38.14093017578125,68.50955200195312,7.009823799133301,47.85966491699219,0,0,0,0,0,0.0
0,severe,2,19,299,0.0034105894155800343,12.805168151855469,63.49420166015625,63.46377944946289,241.1866912841797,11.114523887634277,155.23269653320312,0,2,0,0,0,0.0
0,severe,2,20,299,-0.014205943793058395,11.71200942993164,58.78968048095703,60.01669692993164,159.54769897460938,10.876725196838379,100.14183044433594,0,0,0,0,0,0.0
0,severe,2,21,299,-0.008597359992563725,11.01494026184082,57.21434020996094,55.01927185058594,94.2179946899414,10.32056999206543,73.75213623046875,0,0,0,0,0,0.0
0,severe,2,22,299,-0.012496289797127247,6.726895332336426,36.25648498535156,35.044498443603516,57.773109436035156,6.4895853996276855,42.83681106567383,0,0,0,0,0,0.0
0,severe,2,23,299,0.0012374442303553224,8.04966926574707,43.54762268066406,42.69370651245117,77.55367279052734,7.609319686889648,57.07746124267578,0,0,0,0,0,0.0
1,moderate,1,0,299,0.015137126669287682,10.526328086853027,36.297767639160156,41.44200897216797,276.4900817871094,7.766833305358887,142.33926391601562,0,2,0,0,0,0.0
1,moderate,1,1,299,0.017449751496315002,11.062167167663574,34.43367004394531,40.402931213378906,293.3822021484375,7.61836576461792,147.90464782714844,0,2,0,0,0,0.0
1,moderate,1,2,299,-0.004831139463931322,7.118649482727051,38.65629577636719,38.94230651855469,63.92096710205078,7.032382488250732,35.325767517089844,0,0,0,0,0,0.0
1,moderate,1,3,299,-0.011372058652341366,9.186050415039062,49.656471252441406,51.31776428222656,118.80841827392578,9.069499969482422,76.28801727294922,0,0,0,0,0,0.0
1,moderate,1,4,299,-0.010485460050404072,5.633675575256348,30.402183532714844,31.14763641357422,50.65559387207031,5.541351318359375,27.99358558654785,0,0,0,0,0,0.0
1,moderate,1,5,299,0.01210493128746748,5.704796314239502,28.36882781982422,31.13141441345215,118.6607666015625,5.534624099731445,73.3934326171875,0,0,0,0,0,0.0
1,moderate,1,6,299,0.010952754877507687,5.071084976196289,23.635318756103516,25.360260009765625,93.89875793457031,4.714559555053711,50.05912399291992,0,0,0,0,0,0.0
1,moderate,1,7,299,-0.0038900207728147507,5.481604099273682,26.57373046875,28.045320510864258,97.70872497558594,5.146188735961914,54.588138580322266,0,0,0,0,0,0.0
1,moderate,1,8,299,-0.00496712327003479,4.85865592956543,24.092784881591797,25.569103240966797,87.68285369873047,4.398839950561523,48.194618225097656,0,0,0,0,0,0.0
1,moderate,1,9,299,-0.006917522754520178,5.715928554534912,28.397340774536133,29.843685150146484,96.0977783203125,5.319761276245117,49.18002700805664,0,0,0,0,0,0.0
1,moderate,1,10,299,-0.007415803149342537,7.368946552276611,35.889888763427734,37.97321319580078,106.62893676757812,6.924079418182373,57.747310638427734,0,0,0,0,0,0.0
1,moderate,1,11,299,0.010187709704041481,9.015096664428711,45.068145751953125,47.72557067871094,119.82258605957031,8.606963157653809,75.016357421875,0,0,0,0,0,0.0
1,moderate,1,12,299,-0.01001646090298891,6.543359756469727,34.784637451171875,36.1649055480957,76.18502807617188,6.395988941192627,39.16453170776367,0,0,0,0,0,0.0
1,moderate,1,13,299,-0.001109860953874886,7.281306743621826,38.226070404052734,40.12446212768555,101.08503723144531,7.0904316902160645,62.63224411010742,0,0,0,0,0,0.0
1,moderate,1,14,299,-0.010964551940560341,8.16289234161377,44.63013458251953,45.93608093261719,96.98036193847656,8.00878620147705,49.9957389831543,0,0,0,0,0,0.0
1,moderate,1,15,299,-0.007515109144151211,7.958715438842773,43.10552978515625,44.05308532714844,109.35525512695312,7.78426456451416,56.188323974609375,0,0,0,0,0,0.0
