fold,epoch,train_loss,val_epoch_loss,val_epoch_balanced_accuracy,val_subject_accuracy,val_subject_balanced_accuracy,val_subject_macro_f1,aggregation
1,1,1.1428505283016617,1.0864862350127533,0.2814227638445787,0.16666666666666666,0.1111111111111111,0.09523809523809523,majority_vote
1,2,1.0871266022284083,1.0856950978381,0.26437871764776094,0.3333333333333333,0.27777777777777773,0.3333333333333333,majority_vote
1,3,1.0434413051950655,1.1155147059836106,0.26504717004180134,0.3333333333333333,0.27777777777777773,0.35555555555555557,majority_vote
1,4,0.9858063049378296,1.1275582061561615,0.25593209018228624,0.3333333333333333,0.27777777777777773,0.27777777777777773,majority_vote
1,5,0.9150748212928322,1.1556812938707166,0.25829374648150805,0.3333333333333333,0.27777777777777773,0.27777777777777773,majority_vote
1,6,0.8661583201190046,1.1666991627469685,0.2859180746742221,0.5,0.38888888888888884,0.41269841269841273,majority_vote
1,7,0.8278038330463855,1.2194264096511225,0.28598231932707413,0.16666666666666666,0.16666666666666666,0.13333333333333333,majority_vote
1,8,0.7894015709619093,1.1810265380476208,0.3185047809608969,0.5,0.38888888888888884,0.41269841269841273,majority_vote
1,9,0.7792597356750783,1.266834867952337,0.31551190764126585,0.3333333333333333,0.27777777777777773,0.27777777777777773,majority_vote
1,10,0.7471819106740172,1.2232753321023455,0.3527066691935241,0.5,0.38888888888888884,0.41269841269841273,majority_vote
1,11,0.7380238661152915,1.270548519528097,0.3340504818305337,0.16666666666666666,0.16666666666666666,0.13333333333333333,majority_vote
1,12,0.7125612951785892,1.2978959858657162,0.34576488743094336,0.5,0.38888888888888884,0.41269841269841273,majority_vote
1,13,0.7208269474695645,1.3266796358764206,0.31061262681840374,0.3333333333333333,0.27777777777777773,0.27777777777777773,majority_vote
1,14,0.6885925745122065,1.3827421156018715,0.31549488014703236,0.3333333333333333,0.27777777777777773,0.27777777777777773,majority_vote
1,15,0.6868192870344167,1.4167498738121398,0.31810308391784364,0.5,0.38888888888888884,0.41269841269841273,majority_vote
1,16,0.6634835042947734,1.510368073845923,0.33638669941110955,0.5,0.38888888888888884,0.41269841269841273,majority_vote
1,17,0.6534200219492016,1.6115615383466724,0.3208865666114876,0.5,0.38888888888888884,0.41269841269841273,majority_vote
1,18,0.6240048353095592,1.6678789349156231,0.29269184571929757,0.3333333333333333,0.27777777777777773,0.27777777777777773,majority_vote
1,19,0.6314784412905057,1.655522442879107,0.35376429777270085,0.5,0.38888888888888884,0.41269841269841273,majority_vote
1,20,0.6297591473539539,1.7606282437124998,0.3187295499925136,0.5,0.38888888888888884,0.41269841269841273,majority_vote
1,21,0.6207969007699323,1.6450351032030985,0.3215540112291591,0.3333333333333333,0.27777777777777773,0.27777777777777773,majority_vote
1,22,0.5970897221003924,1.826286136984209,0.3754437531651158,0.3333333333333333,0.27777777777777773,0.27777777777777773,majority_vote
1,23,0.6059142879730188,1.7654792980463734,0.37631825438125316,0.3333333333333333,0.27777777777777773,0.27777777777777773,majority_vote
1,24,0.58665255402065,1.8215677115011324,0.4008272404308362,0.5,0.38888888888888884,0.41269841269841273,majority_vote
