fold,best_epoch,best_val_subject_balanced_accuracy,aggregation,train_label_counts,class_weights,test_subject_accuracy,test_subject_balanced_accuracy,test_subject_macro_precision,test_subject_macro_recall,test_subject_macro_f1,test_subject_macro_auc_ovr,test_subjects,test_y_true,test_y_pred,test_subject_details,test_confusion_matrix,model_path,history_csv,training_plot
1,30,0.7222222222222222,majority_vote,"[7, 7, 8]","[1.0434782608695652, 1.0434782608695652, 0.9130434782608695]",0.5,0.4444444444444444,0.35555555555555557,0.4444444444444444,0.38888888888888884,0.6444444444444445,"[0, 1, 4, 6, 19, 30, 37, 40]","[2, 1, 1, 2, 2, 0, 0, 1]","[1, 2, 1, 2, 2, 1, 1, 1]","[{'subject_id': 0, 'true_label': 2, 'pred_label': 1, 'votes': [17, 190, 87], 'mean_prob': [0.1399327516555786, 0.4909049868583679, 0.3691621422767639], 'n_epochs': 294}, {'subject_id': 1, 'true_label': 1, 'pred_label': 2, 'votes': [61, 102, 141], 'mean_prob': [0.25110164284706116, 0.364535927772522, 0.3843621611595154], 'n_epochs': 304}, {'subject_id': 4, 'true_label': 1, 'pred_label': 1, 'votes': [92, 207, 2], 'mean_prob': [0.3629503846168518, 0.5008292198181152, 0.13622033596038818], 'n_epochs': 301}, {'subject_id': 6, 'true_label': 2, 'pred_label': 2, 'votes': [0, 0, 304], 'mean_prob': [0.024382833391427994, 0.06847503036260605, 0.9071422219276428], 'n_epochs': 304}, {'subject_id': 19, 'true_label': 2, 'pred_label': 2, 'votes': [0, 0, 304], 'mean_prob': [0.006750384345650673, 0.020566420629620552, 0.9726828336715698], 'n_epochs': 304}, {'subject_id': 30, 'true_label': 0, 'pred_label': 1, 'votes': [21, 148, 120], 'mean_prob': [0.13785672187805176, 0.4218270182609558, 0.44031602144241333], 'n_epochs': 289}, {'subject_id': 37, 'true_label': 0, 'pred_label': 1, 'votes': [12, 261, 29], 'mean_prob': [0.10814063251018524, 0.6329209208488464, 0.25893861055374146], 'n_epochs': 302}, {'subject_id': 40, 'true_label': 1, 'pred_label': 1, 'votes': [23, 276, 5], 'mean_prob': [0.21982775628566742, 0.634914219379425, 0.1452581137418747], 'n_epochs': 304}]","[[0, 2, 0], [0, 2, 1], [0, 1, 2]]",C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p300\eegnet\closed\majority_vote\fold_01_best.pt,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p300\eegnet\closed\majority_vote\fold_01_history.csv,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p300\eegnet\closed\majority_vote\fold_01_training_plot.png
2,3,0.5,majority_vote,"[6, 7, 10]","[1.2209302325581395, 1.0465116279069768, 0.7325581395348838]",0.14285714285714285,0.1111111111111111,0.08333333333333333,0.1111111111111111,0.09523809523809523,0.27777777777777773,"[2, 7, 11, 16, 27, 31, 41]","[0, 0, 1, 1, 0, 2, 2]","[1, 0, 0, 0, 2, 0, 1]","[{'subject_id': 2, 'true_label': 0, 'pred_label': 1, 'votes': [8, 277, 16], 'mean_prob': [0.1780814826488495, 0.5057251453399658, 0.31619322299957275], 'n_epochs': 301}, {'subject_id': 7, 'true_label': 0, 'pred_label': 0, 'votes': [235, 15, 27], 'mean_prob': [0.4160667657852173, 0.30220723152160645, 0.28172600269317627], 'n_epochs': 277}, {'subject_id': 11, 'true_label': 1, 'pred_label': 0, 'votes': [247, 3, 54], 'mean_prob': [0.3947876989841461, 0.29812437295913696, 0.3070879280567169], 'n_epochs': 304}, {'subject_id': 16, 'true_label': 1, 'pred_label': 0, 'votes': [300, 0, 4], 'mean_prob': [0.479124516248703, 0.2797167897224426, 0.24115878343582153], 'n_epochs': 304}, {'subject_id': 27, 'true_label': 0, 'pred_label': 2, 'votes': [120, 51, 131], 'mean_prob': [0.2946847677230835, 0.3379053473472595, 0.36740994453430176], 'n_epochs': 302}, {'subject_id': 31, 'true_label': 2, 'pred_label': 0, 'votes': [304, 0, 0], 'mean_prob': [0.5274386405944824, 0.26108601689338684, 0.21147532761096954], 'n_epochs': 304}, {'subject_id': 41, 'true_label': 2, 'pred_label': 1, 'votes': [6, 194, 27], 'mean_prob': [0.14772312343120575, 0.542542576789856, 0.3097344636917114], 'n_epochs': 227}]","[[1, 1, 1], [2, 0, 0], [1, 1, 0]]",C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p300\eegnet\closed\majority_vote\fold_02_best.pt,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p300\eegnet\closed\majority_vote\fold_02_history.csv,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p300\eegnet\closed\majority_vote\fold_02_training_plot.png
3,12,0.6666666666666666,majority_vote,"[7, 7, 9]","[1.0799999999999998, 1.0799999999999998, 0.8399999999999999]",0.42857142857142855,0.38888888888888884,0.5,0.38888888888888884,0.41269841269841273,0.4777777777777777,"[8, 9, 13, 22, 35, 39, 43]","[1, 2, 0, 2, 0, 2, 1]","[1, 2, 2, 2, 2, 0, 0]","[{'subject_id': 8, 'true_label': 1, 'pred_label': 1, 'votes': [109, 166, 29], 'mean_prob': [0.3667265772819519, 0.4045770466327667, 0.22869634628295898], 'n_epochs': 304}, {'subject_id': 9, 'true_label': 2, 'pred_label': 2, 'votes': [5, 10, 286], 'mean_prob': [0.12793464958667755, 0.113155797123909, 0.7589092254638672], 'n_epochs': 301}, {'subject_id': 13, 'true_label': 0, 'pred_label': 2, 'votes': [0, 141, 159], 'mean_prob': [0.015002288855612278, 0.4788344204425812, 0.5061632394790649], 'n_epochs': 300}, {'subject_id': 22, 'true_label': 2, 'pred_label': 2, 'votes': [8, 6, 290], 'mean_prob': [0.07569275051355362, 0.11384248733520508, 0.8104647397994995], 'n_epochs': 304}, {'subject_id': 35, 'true_label': 0, 'pred_label': 2, 'votes': [5, 110, 187], 'mean_prob': [0.056156378239393234, 0.4387310743331909, 0.5051124691963196], 'n_epochs': 302}, {'subject_id': 39, 'true_label': 2, 'pred_label': 0, 'votes': [242, 0, 56], 'mean_prob': [0.7003370523452759, 0.005753409117460251, 0.29390954971313477], 'n_epochs': 298}, {'subject_id': 43, 'true_label': 1, 'pred_label': 0, 'votes': [211, 32, 61], 'mean_prob': [0.5652610659599304, 0.17996297776699066, 0.25477609038352966], 'n_epochs': 304}]","[[0, 0, 2], [1, 1, 0], [1, 0, 2]]",C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p300\eegnet\closed\majority_vote\fold_03_best.pt,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p300\eegnet\closed\majority_vote\fold_03_history.csv,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p300\eegnet\closed\majority_vote\fold_03_training_plot.png
4,18,0.6666666666666666,majority_vote,"[7, 7, 9]","[1.0799999999999998, 1.0799999999999998, 0.8399999999999999]",0.14285714285714285,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.08333333333333333,0.3444444444444444,"[3, 10, 14, 18, 24, 25, 33]","[2, 0, 0, 1, 2, 2, 1]","[1, 1, 1, 1, 1, 1, 2]","[{'subject_id': 3, 'true_label': 2, 'pred_label': 1, 'votes': [6, 292, 6], 'mean_prob': [0.07617118209600449, 0.662194013595581, 0.2616345286369324], 'n_epochs': 304}, {'subject_id': 10, 'true_label': 0, 'pred_label': 1, 'votes': [0, 302, 0], 'mean_prob': [0.01686033234000206, 0.9411343932151794, 0.04200523719191551], 'n_epochs': 302}, {'subject_id': 14, 'true_label': 0, 'pred_label': 1, 'votes': [49, 143, 105], 'mean_prob': [0.1659400910139084, 0.458487868309021, 0.37557220458984375], 'n_epochs': 297}, {'subject_id': 18, 'true_label': 1, 'pred_label': 1, 'votes': [2, 266, 36], 'mean_prob': [0.034873511642217636, 0.7111496925354004, 0.2539770007133484], 'n_epochs': 304}, {'subject_id': 24, 'true_label': 2, 'pred_label': 1, 'votes': [15, 272, 11], 'mean_prob': [0.1289551854133606, 0.6955568194389343, 0.17548802495002747], 'n_epochs': 298}, {'subject_id': 25, 'true_label': 2, 'pred_label': 1, 'votes': [134, 145, 25], 'mean_prob': [0.3676471710205078, 0.3960452973842621, 0.2363077700138092], 'n_epochs': 304}, {'subject_id': 33, 'true_label': 1, 'pred_label': 2, 'votes': [51, 111, 142], 'mean_prob': [0.20684008300304413, 0.33773529529571533, 0.4554246962070465], 'n_epochs': 304}]","[[0, 2, 0], [0, 1, 1], [0, 3, 0]]",C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p300\eegnet\closed\majority_vote\fold_04_best.pt,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p300\eegnet\closed\majority_vote\fold_04_history.csv,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p300\eegnet\closed\majority_vote\fold_04_training_plot.png
5,27,0.5,majority_vote,"[7, 7, 9]","[1.0799999999999998, 1.0799999999999998, 0.8399999999999999]",0.2857142857142857,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.19047619047619047,0.4611111111111111,"[5, 15, 20, 21, 23, 26, 38]","[0, 2, 2, 1, 1, 0, 2]","[1, 1, 2, 2, 0, 2, 2]","[{'subject_id': 5, 'true_label': 0, 'pred_label': 1, 'votes': [151, 153, 0], 'mean_prob': [0.47785988450050354, 0.4665429890155792, 0.05559694021940231], 'n_epochs': 304}, {'subject_id': 15, 'true_label': 2, 'pred_label': 1, 'votes': [55, 238, 11], 'mean_prob': [0.17516671121120453, 0.6984322667121887, 0.12640129029750824], 'n_epochs': 304}, {'subject_id': 20, 'true_label': 2, 'pred_label': 2, 'votes': [8, 6, 290], 'mean_prob': [0.11827954649925232, 0.048079963773489, 0.8336407542228699], 'n_epochs': 304}, {'subject_id': 21, 'true_label': 1, 'pred_label': 2, 'votes': [64, 7, 233], 'mean_prob': [0.29622915387153625, 0.07756371796131134, 0.6262072324752808], 'n_epochs': 304}, {'subject_id': 23, 'true_label': 1, 'pred_label': 0, 'votes': [261, 12, 31], 'mean_prob': [0.6789253950119019, 0.07451330125331879, 0.24656149744987488], 'n_epochs': 304}, {'subject_id': 26, 'true_label': 0, 'pred_label': 2, 'votes': [1, 7, 290], 'mean_prob': [0.007550628390163183, 0.04795726761221886, 0.9444918036460876], 'n_epochs': 298}, {'subject_id': 38, 'true_label': 2, 'pred_label': 2, 'votes': [11, 10, 283], 'mean_prob': [0.20436745882034302, 0.11047861725091934, 0.6851537823677063], 'n_epochs': 304}]","[[0, 1, 1], [1, 0, 1], [0, 1, 2]]",C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p300\eegnet\closed\majority_vote\fold_05_best.pt,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p300\eegnet\closed\majority_vote\fold_05_history.csv,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p300\eegnet\closed\majority_vote\fold_05_training_plot.png
