,test_subject_accuracy,test_subject_balanced_accuracy,test_subject_macro_precision,test_subject_macro_recall,test_subject_macro_f1,test_subject_macro_auc_ovr
mean,0.3,0.2666666666666667,0.23222222222222225,0.2666666666666667,0.2341269841269841,0.44111111111111106
std,0.16288220358559113,0.1438019900616087,0.190126663432955,0.1438019900616087,0.1579345138264476,0.14063348739819329
