config,split_seed,init_seed,fold,epoch,train_loss,train_acc,train_balanced_acc,train_macro_f1,train_pred_counts,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_pred_counts
eegnet_small_t600_meanmax050,3407,3407,2,1,1.1699767216392185,0.21739130434782608,0.1952380952380952,0.18614718614718614,"{""2"": 12, ""0"": 4, ""1"": 7}",1.1047632694244385,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""1"": 6}"
eegnet_small_t600_meanmax050,3407,3407,2,2,1.163123218909554,0.391304347826087,0.3142857142857143,0.25057471264367814,"{""2"": 19, ""1"": 3, ""0"": 1}",1.1062809626261394,0.5,0.5,0.38888888888888884,"{""1"": 4, ""2"": 2}"
eegnet_small_t600_meanmax050,3407,3407,2,3,1.1271027456159177,0.43478260869565216,0.3761904761904762,0.33730158730158727,"{""2"": 14, ""1"": 7, ""0"": 2}",1.1084964672724407,0.3333333333333333,0.3333333333333333,0.26666666666666666,"{""1"": 3, ""2"": 3}"
eegnet_small_t600_meanmax050,3407,3407,2,4,1.0975813710171243,0.34782608695652173,0.26666666666666666,0.17777777777777778,"{""2"": 20, ""1"": 3}",1.112189253171285,0.3333333333333333,0.3333333333333333,0.26666666666666666,"{""1"": 3, ""2"": 3}"
eegnet_small_t600_meanmax050,3407,3407,2,5,1.0972037885500037,0.4782608695652174,0.40952380952380957,0.35555555555555557,"{""2"": 14, ""1"": 8, ""0"": 1}",1.1157693068186443,0.5,0.5,0.38888888888888884,"{""1"": 2, ""2"": 4}"
eegnet_small_t600_meanmax050,3407,3407,2,6,1.076899448166723,0.5217391304347826,0.4507936507936508,0.42857142857142855,"{""0"": 1, ""2"": 17, ""1"": 5}",1.1189432541529338,0.3333333333333333,0.3333333333333333,0.19047619047619047,"{""1"": 1, ""2"": 5}"
eegnet_small_t600_meanmax050,3407,3407,2,7,1.0797192583913389,0.391304347826087,0.3507936507936507,0.3516483516483517,"{""2"": 16, ""0"": 1, ""1"": 6}",1.1238406499226887,0.3333333333333333,0.3333333333333333,0.19047619047619047,"{""1"": 1, ""2"": 5}"
eegnet_small_t600_meanmax050,3407,3407,2,8,1.0781433452730593,0.43478260869565216,0.3841269841269841,0.3725641025641026,"{""2"": 15, ""1"": 6, ""0"": 2}",1.1280960241953533,0.3333333333333333,0.3333333333333333,0.19047619047619047,"{""1"": 1, ""2"": 5}"
eegnet_small_t600_meanmax050,3407,3407,2,9,1.093540759190269,0.391304347826087,0.3,0.2142857142857143,"{""2"": 18, ""1"": 4, ""0"": 1}",1.131787379582723,0.3333333333333333,0.3333333333333333,0.19047619047619047,"{""1"": 1, ""2"": 5}"
eegnet_small_t600_meanmax050,3407,3407,2,10,1.0789365612942239,0.4782608695652174,0.4317460317460317,0.42740740740740746,"{""1"": 5, ""0"": 3, ""2"": 15}",1.1350334882736206,0.3333333333333333,0.3333333333333333,0.19047619047619047,"{""1"": 1, ""2"": 5}"
eegnet_small_t600_meanmax050,3407,3407,2,11,1.0584569780722908,0.5217391304347826,0.42857142857142855,0.3632019115890084,"{""2"": 21, ""1"": 2}",1.1372218132019043,0.3333333333333333,0.3333333333333333,0.19047619047619047,"{""1"": 1, ""2"": 5}"
eegnet_small_t600_meanmax050,3407,3407,2,12,1.1158817488214243,0.34782608695652173,0.2809523809523809,0.23344556677890008,"{""2"": 17, ""0"": 2, ""1"": 4}",1.138393759727478,0.3333333333333333,0.3333333333333333,0.19047619047619047,"{""1"": 1, ""2"": 5}"
