config,split_seed,init_seed,fold,epoch,train_loss,train_acc,train_balanced_acc,train_macro_f1,train_pred_counts,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_pred_counts
eegnet_small_t600_meanmax050,42,2025,2,1,1.2824859774631003,0.30434782608695654,0.31216931216931215,0.2833333333333334,"{""2"": 7, ""1"": 13, ""0"": 3}",1.0992132425308228,0.3333333333333333,0.3333333333333333,0.2222222222222222,"{""1"": 4, ""2"": 2}"
eegnet_small_t600_meanmax050,42,2025,2,2,1.4005418342092764,0.34782608695652173,0.35978835978835977,0.3511904761904762,"{""1"": 9, ""2"": 7, ""0"": 7}",1.0992646217346191,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""1"": 6}"
eegnet_small_t600_meanmax050,42,2025,2,3,1.5734464914902397,0.13043478260869565,0.12169312169312169,0.11111111111111112,"{""2"": 11, ""1"": 8, ""0"": 4}",1.0990949869155884,0.16666666666666666,0.16666666666666666,0.1111111111111111,"{""2"": 2, ""1"": 4}"
eegnet_small_t600_meanmax050,42,2025,2,4,1.4557246488073599,0.391304347826087,0.3968253968253968,0.3587301587301588,"{""1"": 14, ""0"": 3, ""2"": 6}",1.0982532501220703,0.16666666666666666,0.16666666666666666,0.09523809523809523,"{""2"": 1, ""1"": 5}"
eegnet_small_t600_meanmax050,42,2025,2,5,1.383451451425967,0.34782608695652173,0.34920634920634913,0.3259259259259259,"{""0"": 3, ""1"": 11, ""2"": 9}",1.0972905158996582,0.16666666666666666,0.16666666666666666,0.1111111111111111,"{""2"": 2, ""1"": 4}"
eegnet_small_t600_meanmax050,42,2025,2,6,1.2491590251093325,0.30434782608695654,0.291005291005291,0.2698412698412698,"{""2"": 12, ""1"": 7, ""0"": 4}",1.0964008569717407,0.16666666666666666,0.16666666666666666,0.1111111111111111,"{""2"": 2, ""1"": 4}"
eegnet_small_t600_meanmax050,42,2025,2,7,1.464122808497885,0.391304347826087,0.3862433862433862,0.3847953216374269,"{""2"": 10, ""0"": 5, ""1"": 8}",1.0943851470947266,0.16666666666666666,0.16666666666666666,0.1111111111111111,"{""2"": 2, ""1"": 4}"
eegnet_small_t600_meanmax050,42,2025,2,8,1.3602319541184797,0.30434782608695654,0.30158730158730157,0.2941520467836257,"{""1"": 12, ""0"": 5, ""2"": 6}",1.0919984579086304,0.16666666666666666,0.16666666666666666,0.1111111111111111,"{""2"": 2, ""1"": 4}"
eegnet_small_t600_meanmax050,42,2025,2,9,1.9592670254085376,0.17391304347826086,0.1693121693121693,0.14035087719298245,"{""1"": 12, ""0"": 1, ""2"": 10}",1.090486764907837,0.16666666666666666,0.16666666666666666,0.1111111111111111,"{""2"": 2, ""1"": 4}"
eegnet_small_t600_meanmax050,42,2025,2,10,1.2627308731493743,0.34782608695652173,0.3280423280423281,0.3198830409356725,"{""2"": 10, ""1"": 8, ""0"": 5}",1.0886611938476562,0.16666666666666666,0.16666666666666666,0.13333333333333333,"{""2"": 3, ""1"": 3}"
eegnet_small_t600_meanmax050,42,2025,2,11,1.737125469290692,0.30434782608695654,0.291005291005291,0.24444444444444446,"{""2"": 11, ""1"": 11, ""0"": 1}",1.085978627204895,0.16666666666666666,0.16666666666666666,0.1111111111111111,"{""2"": 2, ""1"": 4}"
