fold,best_epoch,best_val_subject_balanced_accuracy,aggregation,train_label_counts,class_weights,test_subject_accuracy,test_subject_balanced_accuracy,test_subject_macro_precision,test_subject_macro_recall,test_subject_macro_f1,test_subject_macro_auc_ovr,test_subjects,test_y_true,test_y_pred,test_subject_details,test_confusion_matrix,model_path,history_csv,training_plot
1,27,0.4444444444444444,majority_vote,"[7, 7, 8]","[1.0434782608695652, 1.0434782608695652, 0.9130434782608695]",0.5,0.4444444444444444,0.4761904761904762,0.4444444444444444,0.3666666666666667,0.6388888888888888,"[0, 1, 4, 6, 19, 30, 37, 40]","[2, 1, 1, 2, 2, 0, 0, 1]","[1, 1, 1, 1, 2, 1, 1, 1]","[{'subject_id': 0, 'true_label': 2, 'pred_label': 1, 'votes': [0, 296, 2], 'mean_prob': [0.1742209792137146, 0.4318380653858185, 0.39394113421440125], 'n_epochs': 298}, {'subject_id': 1, 'true_label': 1, 'pred_label': 1, 'votes': [0, 299, 5], 'mean_prob': [0.1766863316297531, 0.42335280776023865, 0.39996060729026794], 'n_epochs': 304}, {'subject_id': 4, 'true_label': 1, 'pred_label': 1, 'votes': [0, 301, 3], 'mean_prob': [0.1768762320280075, 0.424221396446228, 0.3989023268222809], 'n_epochs': 304}, {'subject_id': 6, 'true_label': 2, 'pred_label': 1, 'votes': [0, 291, 13], 'mean_prob': [0.1761147528886795, 0.42080166935920715, 0.4030837118625641], 'n_epochs': 304}, {'subject_id': 19, 'true_label': 2, 'pred_label': 2, 'votes': [0, 66, 238], 'mean_prob': [0.17081592977046967, 0.41046980023384094, 0.4187142848968506], 'n_epochs': 304}, {'subject_id': 30, 'true_label': 0, 'pred_label': 1, 'votes': [10, 234, 60], 'mean_prob': [0.20386657118797302, 0.40193870663642883, 0.39419475197792053], 'n_epochs': 304}, {'subject_id': 37, 'true_label': 0, 'pred_label': 1, 'votes': [0, 292, 12], 'mean_prob': [0.17197947204113007, 0.43371978402137756, 0.39430081844329834], 'n_epochs': 304}, {'subject_id': 40, 'true_label': 1, 'pred_label': 1, 'votes': [0, 303, 1], 'mean_prob': [0.178069069981575, 0.4285603165626526, 0.3933705687522888], 'n_epochs': 304}]","[[0, 2, 0], [0, 3, 0], [0, 2, 1]]",C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_p2pnull\eegnet\closed\majority_vote\fold_01_best.pt,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_p2pnull\eegnet\closed\majority_vote\fold_01_history.csv,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_p2pnull\eegnet\closed\majority_vote\fold_01_training_plot.png
2,1,0.3333333333333333,majority_vote,"[6, 7, 10]","[1.2209302325581395, 1.0465116279069768, 0.7325581395348838]",0.42857142857142855,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.19999999999999998,0.2222222222222222,"[2, 7, 11, 16, 27, 31, 41]","[0, 0, 1, 1, 0, 2, 2]","[0, 0, 0, 0, 0, 0, 0]","[{'subject_id': 2, 'true_label': 0, 'pred_label': 0, 'votes': [303, 1, 0], 'mean_prob': [0.38204270601272583, 0.31912240386009216, 0.29883477091789246], 'n_epochs': 304}, {'subject_id': 7, 'true_label': 0, 'pred_label': 0, 'votes': [283, 8, 13], 'mean_prob': [0.36895692348480225, 0.3212853968143463, 0.309757798910141], 'n_epochs': 304}, {'subject_id': 11, 'true_label': 1, 'pred_label': 0, 'votes': [304, 0, 0], 'mean_prob': [0.3947630822658539, 0.31230175495147705, 0.29293525218963623], 'n_epochs': 304}, {'subject_id': 16, 'true_label': 1, 'pred_label': 0, 'votes': [304, 0, 0], 'mean_prob': [0.3959280848503113, 0.31150534749031067, 0.2925666570663452], 'n_epochs': 304}, {'subject_id': 27, 'true_label': 0, 'pred_label': 0, 'votes': [304, 0, 0], 'mean_prob': [0.38859617710113525, 0.31505680084228516, 0.296347051858902], 'n_epochs': 304}, {'subject_id': 31, 'true_label': 2, 'pred_label': 0, 'votes': [304, 0, 0], 'mean_prob': [0.3956555426120758, 0.31199392676353455, 0.2923505902290344], 'n_epochs': 304}, {'subject_id': 41, 'true_label': 2, 'pred_label': 0, 'votes': [264, 16, 24], 'mean_prob': [0.37623316049575806, 0.3179051876068115, 0.30586162209510803], 'n_epochs': 304}]","[[3, 0, 0], [2, 0, 0], [2, 0, 0]]",C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_p2pnull\eegnet\closed\majority_vote\fold_02_best.pt,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_p2pnull\eegnet\closed\majority_vote\fold_02_history.csv,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_p2pnull\eegnet\closed\majority_vote\fold_02_training_plot.png
3,1,0.3333333333333333,majority_vote,"[7, 7, 9]","[1.0799999999999998, 1.0799999999999998, 0.8399999999999999]",0.2857142857142857,0.3333333333333333,0.09523809523809523,0.3333333333333333,0.14814814814814814,0.47222222222222215,"[8, 9, 13, 22, 35, 39, 43]","[1, 2, 0, 2, 0, 2, 1]","[1, 1, 1, 1, 1, 1, 1]","[{'subject_id': 8, 'true_label': 1, 'pred_label': 1, 'votes': [0, 304, 0], 'mean_prob': [0.29973500967025757, 0.37552571296691895, 0.3247392475605011], 'n_epochs': 304}, {'subject_id': 9, 'true_label': 2, 'pred_label': 1, 'votes': [2, 301, 1], 'mean_prob': [0.30021488666534424, 0.3732907772064209, 0.32649433612823486], 'n_epochs': 304}, {'subject_id': 13, 'true_label': 0, 'pred_label': 1, 'votes': [0, 304, 0], 'mean_prob': [0.2996998429298401, 0.3755299150943756, 0.32477036118507385], 'n_epochs': 304}, {'subject_id': 22, 'true_label': 2, 'pred_label': 1, 'votes': [0, 304, 0], 'mean_prob': [0.29979726672172546, 0.3753969371318817, 0.3248058557510376], 'n_epochs': 304}, {'subject_id': 35, 'true_label': 0, 'pred_label': 1, 'votes': [0, 304, 0], 'mean_prob': [0.29974037408828735, 0.3755321204662323, 0.32472729682922363], 'n_epochs': 304}, {'subject_id': 39, 'true_label': 2, 'pred_label': 1, 'votes': [0, 304, 0], 'mean_prob': [0.2998642325401306, 0.3752228021621704, 0.32491302490234375], 'n_epochs': 304}, {'subject_id': 43, 'true_label': 1, 'pred_label': 1, 'votes': [0, 304, 0], 'mean_prob': [0.3000032901763916, 0.3751033842563629, 0.3248933255672455], 'n_epochs': 304}]","[[0, 2, 0], [0, 2, 0], [0, 3, 0]]",C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_p2pnull\eegnet\closed\majority_vote\fold_03_best.pt,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_p2pnull\eegnet\closed\majority_vote\fold_03_history.csv,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_p2pnull\eegnet\closed\majority_vote\fold_03_training_plot.png
4,1,0.3333333333333333,majority_vote,"[7, 7, 9]","[1.0799999999999998, 1.0799999999999998, 0.8399999999999999]",0.2857142857142857,0.3333333333333333,0.09523809523809523,0.3333333333333333,0.14814814814814814,0.4444444444444444,"[3, 10, 14, 18, 24, 25, 33]","[2, 0, 0, 1, 2, 2, 1]","[1, 1, 1, 1, 1, 1, 1]","[{'subject_id': 3, 'true_label': 2, 'pred_label': 1, 'votes': [0, 304, 0], 'mean_prob': [0.32474279403686523, 0.36061230301856995, 0.3146449029445648], 'n_epochs': 304}, {'subject_id': 10, 'true_label': 0, 'pred_label': 1, 'votes': [0, 304, 0], 'mean_prob': [0.3247835338115692, 0.36054983735084534, 0.31466642022132874], 'n_epochs': 304}, {'subject_id': 14, 'true_label': 0, 'pred_label': 1, 'votes': [0, 304, 0], 'mean_prob': [0.32499560713768005, 0.3603850305080414, 0.3146193027496338], 'n_epochs': 304}, {'subject_id': 18, 'true_label': 1, 'pred_label': 1, 'votes': [0, 304, 0], 'mean_prob': [0.32484200596809387, 0.36048054695129395, 0.31467747688293457], 'n_epochs': 304}, {'subject_id': 24, 'true_label': 2, 'pred_label': 1, 'votes': [0, 304, 0], 'mean_prob': [0.32504552602767944, 0.3601706922054291, 0.3147839605808258], 'n_epochs': 304}, {'subject_id': 25, 'true_label': 2, 'pred_label': 1, 'votes': [0, 304, 0], 'mean_prob': [0.32488182187080383, 0.3605247437953949, 0.31459370255470276], 'n_epochs': 304}, {'subject_id': 33, 'true_label': 1, 'pred_label': 1, 'votes': [0, 304, 0], 'mean_prob': [0.3247302770614624, 0.36044228076934814, 0.31482771039009094], 'n_epochs': 304}]","[[0, 2, 0], [0, 2, 0], [0, 3, 0]]",C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_p2pnull\eegnet\closed\majority_vote\fold_04_best.pt,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_p2pnull\eegnet\closed\majority_vote\fold_04_history.csv,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_p2pnull\eegnet\closed\majority_vote\fold_04_training_plot.png
5,1,0.3333333333333333,majority_vote,"[7, 7, 9]","[1.0799999999999998, 1.0799999999999998, 0.8399999999999999]",0.42857142857142855,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.19999999999999998,0.31666666666666665,"[5, 15, 20, 21, 23, 26, 38]","[0, 2, 2, 1, 1, 0, 2]","[2, 2, 2, 2, 2, 2, 2]","[{'subject_id': 5, 'true_label': 0, 'pred_label': 2, 'votes': [0, 4, 300], 'mean_prob': [0.2883168160915375, 0.3534074127674103, 0.35827574133872986], 'n_epochs': 304}, {'subject_id': 15, 'true_label': 2, 'pred_label': 2, 'votes': [0, 0, 304], 'mean_prob': [0.2881889343261719, 0.35349202156066895, 0.35831910371780396], 'n_epochs': 304}, {'subject_id': 20, 'true_label': 2, 'pred_label': 2, 'votes': [0, 5, 299], 'mean_prob': [0.28832554817199707, 0.35329562425613403, 0.35837888717651367], 'n_epochs': 304}, {'subject_id': 21, 'true_label': 1, 'pred_label': 2, 'votes': [0, 4, 300], 'mean_prob': [0.28822746872901917, 0.35306063294410706, 0.35871201753616333], 'n_epochs': 304}, {'subject_id': 23, 'true_label': 1, 'pred_label': 2, 'votes': [0, 27, 277], 'mean_prob': [0.2883160710334778, 0.35319238901138306, 0.358491450548172], 'n_epochs': 304}, {'subject_id': 26, 'true_label': 0, 'pred_label': 2, 'votes': [0, 7, 291], 'mean_prob': [0.28826016187667847, 0.35327574610710144, 0.35846421122550964], 'n_epochs': 298}, {'subject_id': 38, 'true_label': 2, 'pred_label': 2, 'votes': [0, 4, 300], 'mean_prob': [0.28823477029800415, 0.35335874557495117, 0.3584064841270447], 'n_epochs': 304}]","[[0, 0, 2], [0, 0, 2], [0, 0, 3]]",C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_p2pnull\eegnet\closed\majority_vote\fold_05_best.pt,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_p2pnull\eegnet\closed\majority_vote\fold_05_history.csv,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_p2pnull\eegnet\closed\majority_vote\fold_05_training_plot.png
