,test_subject_accuracy,test_subject_balanced_accuracy,test_subject_macro_precision,test_subject_macro_recall,test_subject_macro_f1,test_subject_macro_auc_ovr
mean,0.38571428571428573,0.3555555555555555,0.19047619047619047,0.3555555555555555,0.21259259259259258,0.4188888888888888
std,0.095831484749991,0.04969039949999532,0.16148404721726828,0.04969039949999532,0.08994740118215686,0.1589219079910198
