init_seed,n_runs,mean_test_bacc,std_test_bacc,mean_test_acc,std_test_acc,mean_test_macro_f1,std_test_macro_f1,frac_test_bacc_gt_chance,frac_test_bacc_gt_majority
1234,5,0.3555555555555555,0.04969039949999533,0.33214285714285713,0.0663363415035954,0.19735449735449734,0.07379387670523235,0.2,0.2
2025,5,0.47777777777777775,0.16480441082434807,0.46785714285714286,0.19577814390951065,0.38,0.2294504701816187,0.6,0.6
3407,5,0.5,0.03928371006591929,0.5285714285714286,0.06388765649999399,0.4261904761904762,0.043974270403793835,1.0,1.0
