fold,n_runs,mean_test_bacc,std_test_bacc,mean_test_acc,std_test_acc,mean_test_macro_f1,std_test_macro_f1,frac_test_bacc_gt_chance,frac_test_bacc_gt_majority
1,3,0.4444444444444444,0.11111111111111109,0.5,0.125,0.37354497354497357,0.1576577529910575,0.6666666666666666,0.6666666666666666
2,3,0.38888888888888884,0.09622504486493762,0.3333333333333333,0.08247860988423224,0.2380952380952381,0.10378330817953987,0.3333333333333333,0.3333333333333333
3,3,0.5740740740740741,0.13981174880131017,0.5714285714285714,0.14285714285714288,0.4931216931216931,0.19818611400820266,1.0,1.0
4,3,0.4259259259259259,0.0848625128695526,0.42857142857142855,0.14285714285714285,0.31472663139329804,0.16222785079241372,0.6666666666666666,0.6666666666666666
5,3,0.38888888888888884,0.09622504486493762,0.38095238095238093,0.1649572197684645,0.2530864197530864,0.1659793785154167,0.3333333333333333,0.3333333333333333
