config,split_seed,init_seed,fold,epoch,train_loss,train_acc,train_balanced_acc,train_macro_f1,train_pred_counts,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_pred_counts
eegnet_small_t600_meanmax050,3407,2025,5,1,1.0358944120614424,0.5217391304347826,0.5185185185185185,0.5024757377698554,"{""0"": 4, ""1"": 10, ""2"": 9}",1.0983255704243977,0.5,0.5,0.43333333333333335,"{""2"": 2, ""1"": 3, ""0"": 1}"
eegnet_small_t600_meanmax050,3407,2025,5,2,1.32547476498977,0.2608695652173913,0.25396825396825395,0.23376623376623376,"{""2"": 13, ""0"": 3, ""1"": 7}",1.100819746653239,0.5,0.5,0.4666666666666666,"{""2"": 3, ""1"": 2, ""0"": 1}"
eegnet_small_t600_meanmax050,3407,2025,5,3,1.4271997265193774,0.391304347826087,0.3968253968253968,0.3988095238095238,"{""1"": 7, ""2"": 7, ""0"": 9}",1.1038120190302532,0.5,0.5,0.4666666666666666,"{""2"": 3, ""1"": 2, ""0"": 1}"
eegnet_small_t600_meanmax050,3407,2025,5,4,1.2055167685384336,0.17391304347826086,0.15873015873015872,0.13968253968253966,"{""2"": 12, ""1"": 8, ""0"": 3}",1.1056678295135498,0.5,0.5,0.4666666666666666,"{""2"": 3, ""1"": 2, ""0"": 1}"
eegnet_small_t600_meanmax050,3407,2025,5,5,1.2002700696820798,0.30434782608695654,0.291005291005291,0.28525419829767656,"{""2"": 14, ""1"": 7, ""0"": 2}",1.107668360074361,0.5,0.5,0.4666666666666666,"{""2"": 3, ""1"": 2, ""0"": 1}"
eegnet_small_t600_meanmax050,3407,2025,5,6,1.1305245109226392,0.43478260869565216,0.4021164021164021,0.3802469135802469,"{""2"": 18, ""1"": 3, ""0"": 2}",1.1086533466974895,0.5,0.5,0.4666666666666666,"{""2"": 3, ""1"": 2, ""0"": 1}"
eegnet_small_t600_meanmax050,3407,2025,5,7,1.215751007847164,0.391304347826087,0.37566137566137564,0.30687830687830686,"{""1"": 11, ""2"": 12}",1.110076626141866,0.5,0.5,0.4666666666666666,"{""2"": 3, ""1"": 2, ""0"": 1}"
eegnet_small_t600_meanmax050,3407,2025,5,8,1.2887664359548818,0.43478260869565216,0.42328042328042326,0.4265734265734266,"{""2"": 13, ""0"": 4, ""1"": 6}",1.1112219492594402,0.5,0.5,0.4666666666666666,"{""2"": 3, ""1"": 2, ""0"": 1}"
eegnet_small_t600_meanmax050,3407,2025,5,9,1.1662386759467747,0.30434782608695654,0.2804232804232804,0.24675324675324672,"{""0"": 3, ""2"": 13, ""1"": 7}",1.1108302275339763,0.5,0.5,0.4666666666666666,"{""2"": 3, ""1"": 2, ""0"": 1}"
eegnet_small_t600_meanmax050,3407,2025,5,10,1.1500730566356494,0.391304347826087,0.36507936507936506,0.3538461538461539,"{""2"": 17, ""1"": 3, ""0"": 3}",1.1114298502604167,0.5,0.5,0.4666666666666666,"{""2"": 3, ""1"": 2, ""0"": 1}"
eegnet_small_t600_meanmax050,3407,2025,5,11,1.0285504175269085,0.4782608695652174,0.4708994708994709,0.4666666666666666,"{""1"": 9, ""2"": 11, ""0"": 3}",1.1116163730621338,0.5,0.5,0.4666666666666666,"{""2"": 3, ""1"": 2, ""0"": 1}"
