,test_subject_accuracy,test_subject_balanced_accuracy,test_subject_macro_precision,test_subject_macro_recall,test_subject_macro_f1,test_subject_macro_auc_ovr
mean,0.32857142857142857,0.28888888888888886,0.23666666666666666,0.28888888888888886,0.25142857142857145,0.4000000000000001
std,0.13923991921155662,0.12044157438154887,0.15523777063620428,0.12044157438154887,0.1337512347388042,0.17087284999144114
