fold,best_epoch,best_val_subject_balanced_accuracy,aggregation,train_label_counts,class_weights,test_subject_accuracy,test_subject_balanced_accuracy,test_subject_macro_precision,test_subject_macro_recall,test_subject_macro_f1,test_subject_macro_auc_ovr,test_subjects,test_y_true,test_y_pred,test_subject_details,test_confusion_matrix,model_path,history_csv,training_plot
1,10,0.38888888888888884,majority_vote,"[7, 7, 8]","[1.0434782608695652, 1.0434782608695652, 0.9130434782608695]",0.5,0.4444444444444444,0.35555555555555557,0.4444444444444444,0.38888888888888884,0.638888888888889,"[0, 1, 4, 6, 19, 30, 37, 40]","[2, 1, 1, 2, 2, 0, 0, 1]","[1, 2, 1, 2, 2, 1, 1, 1]","[{'subject_id': 0, 'true_label': 2, 'pred_label': 1, 'votes': [4, 278, 14], 'mean_prob': [0.11233584582805634, 0.6072027087211609, 0.28046125173568726], 'n_epochs': 296}, {'subject_id': 1, 'true_label': 1, 'pred_label': 2, 'votes': [76, 38, 190], 'mean_prob': [0.27868643403053284, 0.29739657044410706, 0.4239170253276825], 'n_epochs': 304}, {'subject_id': 4, 'true_label': 1, 'pred_label': 1, 'votes': [32, 234, 35], 'mean_prob': [0.21619577705860138, 0.4842138886451721, 0.2995903789997101], 'n_epochs': 301}, {'subject_id': 6, 'true_label': 2, 'pred_label': 2, 'votes': [1, 2, 301], 'mean_prob': [0.11917512118816376, 0.24592562019824982, 0.6348991990089417], 'n_epochs': 304}, {'subject_id': 19, 'true_label': 2, 'pred_label': 2, 'votes': [0, 0, 304], 'mean_prob': [0.046743106096982956, 0.18264718353748322, 0.7706096768379211], 'n_epochs': 304}, {'subject_id': 30, 'true_label': 0, 'pred_label': 1, 'votes': [32, 144, 116], 'mean_prob': [0.22360815107822418, 0.3400413393974304, 0.43635061383247375], 'n_epochs': 292}, {'subject_id': 37, 'true_label': 0, 'pred_label': 1, 'votes': [2, 302, 0], 'mean_prob': [0.1431957483291626, 0.7023975253105164, 0.15440651774406433], 'n_epochs': 304}, {'subject_id': 40, 'true_label': 1, 'pred_label': 1, 'votes': [23, 280, 1], 'mean_prob': [0.2500514090061188, 0.5262579917907715, 0.223690465092659], 'n_epochs': 304}]","[[0, 2, 0], [0, 2, 1], [0, 1, 2]]",C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p500\eegnet\closed\majority_vote\fold_01_best.pt,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p500\eegnet\closed\majority_vote\fold_01_history.csv,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p500\eegnet\closed\majority_vote\fold_01_training_plot.png
2,3,0.5,majority_vote,"[6, 7, 10]","[1.2209302325581395, 1.0465116279069768, 0.7325581395348838]",0.2857142857142857,0.2222222222222222,0.13333333333333333,0.2222222222222222,0.16666666666666666,0.27777777777777773,"[2, 7, 11, 16, 27, 31, 41]","[0, 0, 1, 1, 0, 2, 2]","[1, 0, 0, 0, 0, 0, 1]","[{'subject_id': 2, 'true_label': 0, 'pred_label': 1, 'votes': [13, 227, 62], 'mean_prob': [0.19907455146312714, 0.4340108036994934, 0.36691468954086304], 'n_epochs': 302}, {'subject_id': 7, 'true_label': 0, 'pred_label': 0, 'votes': [252, 10, 17], 'mean_prob': [0.4487651288509369, 0.30089429020881653, 0.25034067034721375], 'n_epochs': 279}, {'subject_id': 11, 'true_label': 1, 'pred_label': 0, 'votes': [250, 6, 48], 'mean_prob': [0.4006066918373108, 0.29997339844703674, 0.2994200587272644], 'n_epochs': 304}, {'subject_id': 16, 'true_label': 1, 'pred_label': 0, 'votes': [300, 0, 4], 'mean_prob': [0.5162128210067749, 0.2673506438732147, 0.21643656492233276], 'n_epochs': 304}, {'subject_id': 27, 'true_label': 0, 'pred_label': 0, 'votes': [137, 59, 108], 'mean_prob': [0.30566462874412537, 0.33309873938560486, 0.36123645305633545], 'n_epochs': 304}, {'subject_id': 31, 'true_label': 2, 'pred_label': 0, 'votes': [304, 0, 0], 'mean_prob': [0.5676408410072327, 0.25088486075401306, 0.181473970413208], 'n_epochs': 304}, {'subject_id': 41, 'true_label': 2, 'pred_label': 1, 'votes': [18, 192, 46], 'mean_prob': [0.17362762987613678, 0.47425752878189087, 0.352114737033844], 'n_epochs': 256}]","[[2, 1, 0], [2, 0, 0], [1, 1, 0]]",C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p500\eegnet\closed\majority_vote\fold_02_best.pt,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p500\eegnet\closed\majority_vote\fold_02_history.csv,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p500\eegnet\closed\majority_vote\fold_02_training_plot.png
3,40,0.6666666666666666,majority_vote,"[7, 7, 9]","[1.0799999999999998, 1.0799999999999998, 0.8399999999999999]",0.42857142857142855,0.38888888888888884,0.4444444444444444,0.38888888888888884,0.4000000000000001,0.5166666666666667,"[8, 9, 13, 22, 35, 39, 43]","[1, 2, 0, 2, 0, 2, 1]","[1, 2, 1, 2, 1, 0, 0]","[{'subject_id': 8, 'true_label': 1, 'pred_label': 1, 'votes': [24, 278, 2], 'mean_prob': [0.12973171472549438, 0.8281115889549255, 0.04215666279196739], 'n_epochs': 304}, {'subject_id': 9, 'true_label': 2, 'pred_label': 2, 'votes': [50, 0, 251], 'mean_prob': [0.26562780141830444, 0.01736876368522644, 0.7170032262802124], 'n_epochs': 301}, {'subject_id': 13, 'true_label': 0, 'pred_label': 1, 'votes': [0, 156, 146], 'mean_prob': [0.03428397700190544, 0.48714786767959595, 0.47856828570365906], 'n_epochs': 302}, {'subject_id': 22, 'true_label': 2, 'pred_label': 2, 'votes': [8, 19, 277], 'mean_prob': [0.08318561315536499, 0.07623276859521866, 0.8405815958976746], 'n_epochs': 304}, {'subject_id': 35, 'true_label': 0, 'pred_label': 1, 'votes': [1, 177, 126], 'mean_prob': [0.06121838092803955, 0.5217830538749695, 0.41699862480163574], 'n_epochs': 304}, {'subject_id': 39, 'true_label': 2, 'pred_label': 0, 'votes': [279, 0, 25], 'mean_prob': [0.7997686266899109, 0.005533046089112759, 0.19469818472862244], 'n_epochs': 304}, {'subject_id': 43, 'true_label': 1, 'pred_label': 0, 'votes': [155, 116, 33], 'mean_prob': [0.4320591390132904, 0.3649671971797943, 0.20297358930110931], 'n_epochs': 304}]","[[0, 2, 0], [1, 1, 0], [1, 0, 2]]",C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p500\eegnet\closed\majority_vote\fold_03_best.pt,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p500\eegnet\closed\majority_vote\fold_03_history.csv,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p500\eegnet\closed\majority_vote\fold_03_training_plot.png
4,29,0.6666666666666666,majority_vote,"[7, 7, 9]","[1.0799999999999998, 1.0799999999999998, 0.8399999999999999]",0.14285714285714285,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.1111111111111111,0.23888888888888885,"[3, 10, 14, 18, 24, 25, 33]","[2, 0, 0, 1, 2, 2, 1]","[1, 1, 2, 1, 1, 0, 2]","[{'subject_id': 3, 'true_label': 2, 'pred_label': 1, 'votes': [5, 230, 69], 'mean_prob': [0.07235956937074661, 0.5731534361839294, 0.3544870913028717], 'n_epochs': 304}, {'subject_id': 10, 'true_label': 0, 'pred_label': 1, 'votes': [0, 303, 1], 'mean_prob': [0.007712062448263168, 0.9594810605049133, 0.03280693665146828], 'n_epochs': 304}, {'subject_id': 14, 'true_label': 0, 'pred_label': 2, 'votes': [0, 111, 193], 'mean_prob': [0.016255339607596397, 0.39646798372268677, 0.5872766971588135], 'n_epochs': 304}, {'subject_id': 18, 'true_label': 1, 'pred_label': 1, 'votes': [0, 267, 37], 'mean_prob': [0.02493954263627529, 0.7368502616882324, 0.23820975422859192], 'n_epochs': 304}, {'subject_id': 24, 'true_label': 2, 'pred_label': 1, 'votes': [9, 292, 3], 'mean_prob': [0.05614851042628288, 0.7980466485023499, 0.14580479264259338], 'n_epochs': 304}, {'subject_id': 25, 'true_label': 2, 'pred_label': 0, 'votes': [168, 102, 34], 'mean_prob': [0.4089796543121338, 0.3450300395488739, 0.24599047005176544], 'n_epochs': 304}, {'subject_id': 33, 'true_label': 1, 'pred_label': 2, 'votes': [19, 96, 189], 'mean_prob': [0.0909772664308548, 0.3329107165336609, 0.5761120915412903], 'n_epochs': 304}]","[[0, 1, 1], [0, 1, 1], [1, 2, 0]]",C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p500\eegnet\closed\majority_vote\fold_04_best.pt,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p500\eegnet\closed\majority_vote\fold_04_history.csv,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p500\eegnet\closed\majority_vote\fold_04_training_plot.png
5,37,0.5,majority_vote,"[7, 7, 9]","[1.0799999999999998, 1.0799999999999998, 0.8399999999999999]",0.2857142857142857,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.19047619047619047,0.3277777777777778,"[5, 15, 20, 21, 23, 26, 38]","[0, 2, 2, 1, 1, 0, 2]","[1, 1, 2, 2, 0, 2, 2]","[{'subject_id': 5, 'true_label': 0, 'pred_label': 1, 'votes': [102, 201, 1], 'mean_prob': [0.3511599600315094, 0.6017000079154968, 0.0471402183175087], 'n_epochs': 304}, {'subject_id': 15, 'true_label': 2, 'pred_label': 1, 'votes': [50, 222, 32], 'mean_prob': [0.17719462513923645, 0.6477342844009399, 0.17507100105285645], 'n_epochs': 304}, {'subject_id': 20, 'true_label': 2, 'pred_label': 2, 'votes': [4, 15, 285], 'mean_prob': [0.08844175189733505, 0.08129289001226425, 0.8302648663520813], 'n_epochs': 304}, {'subject_id': 21, 'true_label': 1, 'pred_label': 2, 'votes': [94, 11, 199], 'mean_prob': [0.347260057926178, 0.08739200234413147, 0.5653480887413025], 'n_epochs': 304}, {'subject_id': 23, 'true_label': 1, 'pred_label': 0, 'votes': [290, 6, 8], 'mean_prob': [0.8052490949630737, 0.03434475511312485, 0.16040611267089844], 'n_epochs': 304}, {'subject_id': 26, 'true_label': 0, 'pred_label': 2, 'votes': [0, 15, 283], 'mean_prob': [0.003751613898202777, 0.09217406064271927, 0.9040742516517639], 'n_epochs': 298}, {'subject_id': 38, 'true_label': 2, 'pred_label': 2, 'votes': [73, 10, 221], 'mean_prob': [0.3517419099807739, 0.0966319814324379, 0.5516262650489807], 'n_epochs': 304}]","[[0, 1, 1], [1, 0, 1], [0, 1, 2]]",C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p500\eegnet\closed\majority_vote\fold_05_best.pt,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p500\eegnet\closed\majority_vote\fold_05_history.csv,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_01_25_clean_p2p500\eegnet\closed\majority_vote\fold_05_training_plot.png
