fold,n_runs,mean_test_bacc,std_test_bacc,mean_test_acc,std_test_acc,mean_test_macro_f1,std_test_macro_f1,frac_test_bacc_gt_chance,frac_test_bacc_gt_majority
1,4,0.45833333333333326,0.06990587440065507,0.48214285714285715,0.10813036978919613,0.40793650793650793,0.08170107152151374,1.0,1.0
2,4,0.29166666666666663,0.19966535789673912,0.3080357142857143,0.20690411118315116,0.23472222222222222,0.16294454862291627,0.5,0.5
3,4,0.40277777777777773,0.09487917375888519,0.39285714285714285,0.07142857142857142,0.30873015873015874,0.059185990229862484,0.75,0.75
4,4,0.4305555555555555,0.06990587440065511,0.39285714285714285,0.07142857142857142,0.3226190476190476,0.0594955841368754,0.75,0.75
5,4,0.38888888888888884,0.10143010324169745,0.3571428571428571,0.08247860988423225,0.27301587301587305,0.08521311448552095,0.5,0.5
