split_seed,n_runs,mean_test_bacc,std_test_bacc,mean_test_acc,std_test_acc,mean_test_macro_f1,std_test_macro_f1,frac_test_bacc_gt_chance,frac_test_bacc_gt_majority
42,5,0.4444444444444445,0.039283710065919325,0.41785714285714287,0.02395787118749773,0.34476190476190477,0.02183333189085637,1.0,1.0
777,5,0.4333333333333333,0.07243558228002944,0.41785714285714287,0.023957871187497745,0.3325396825396825,0.05146505662499515,0.8,0.8
2509,5,0.34444444444444444,0.07243558228002946,0.3571428571428571,0.1010152544552211,0.29269841269841274,0.07813007353140451,0.4,0.4
3407,5,0.3555555555555555,0.21372648957412602,0.35357142857142854,0.23159275481247824,0.26761904761904765,0.1960609836174759,0.6,0.6
