fold,best_epoch,best_val_subject_balanced_accuracy,aggregation,train_label_counts,class_weights,test_subject_accuracy,test_subject_balanced_accuracy,test_subject_macro_precision,test_subject_macro_recall,test_subject_macro_f1,test_subject_macro_auc_ovr,test_subjects,test_y_true,test_y_pred,test_subject_details,test_confusion_matrix,model_path,history_csv,training_plot
1,10,0.38888888888888884,majority_vote,"[7, 7, 8]","[1.0434782608695652, 1.0434782608695652, 0.9130434782608695]",0.5,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.38095238095238093,0.6166666666666667,"[0, 1, 4, 6, 19, 30, 37, 40]","[2, 1, 1, 2, 2, 0, 0, 1]","[1, 2, 1, 2, 2, 2, 1, 1]","[{'subject_id': 0, 'true_label': 2, 'pred_label': 1, 'votes': [0, 265, 27], 'mean_prob': [0.1261490136384964, 0.5556026697158813, 0.3182484209537506], 'n_epochs': 292}, {'subject_id': 1, 'true_label': 1, 'pred_label': 2, 'votes': [124, 36, 144], 'mean_prob': [0.3707262873649597, 0.26990631222724915, 0.3593672811985016], 'n_epochs': 304}, {'subject_id': 4, 'true_label': 1, 'pred_label': 1, 'votes': [18, 193, 90], 'mean_prob': [0.2254086136817932, 0.4243997037410736, 0.35019171237945557], 'n_epochs': 301}, {'subject_id': 6, 'true_label': 2, 'pred_label': 2, 'votes': [22, 22, 259], 'mean_prob': [0.20093055069446564, 0.31379011273384094, 0.4852796494960785], 'n_epochs': 303}, {'subject_id': 19, 'true_label': 2, 'pred_label': 2, 'votes': [0, 4, 300], 'mean_prob': [0.15204854309558868, 0.14441056549549103, 0.7035409212112427], 'n_epochs': 304}, {'subject_id': 30, 'true_label': 0, 'pred_label': 2, 'votes': [18, 118, 150], 'mean_prob': [0.239601269364357, 0.3119674623012543, 0.4484313130378723], 'n_epochs': 286}, {'subject_id': 37, 'true_label': 0, 'pred_label': 1, 'votes': [4, 294, 1], 'mean_prob': [0.15831471979618073, 0.646698534488678, 0.19498682022094727], 'n_epochs': 299}, {'subject_id': 40, 'true_label': 1, 'pred_label': 1, 'votes': [11, 277, 16], 'mean_prob': [0.22883015871047974, 0.47310182452201843, 0.29806822538375854], 'n_epochs': 304}]","[[0, 1, 1], [0, 2, 1], [0, 1, 2]]",C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_05_45_clean_p2p300\eegnet\closed\majority_vote\fold_01_best.pt,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_05_45_clean_p2p300\eegnet\closed\majority_vote\fold_01_history.csv,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_05_45_clean_p2p300\eegnet\closed\majority_vote\fold_01_training_plot.png
2,2,0.5,majority_vote,"[6, 7, 10]","[1.2209302325581395, 1.0465116279069768, 0.7325581395348838]",0.14285714285714285,0.1111111111111111,0.08333333333333333,0.1111111111111111,0.09523809523809523,0.15,"[2, 7, 11, 16, 27, 31, 41]","[0, 0, 1, 1, 0, 2, 2]","[1, 0, 0, 0, 2, 0, 1]","[{'subject_id': 2, 'true_label': 0, 'pred_label': 1, 'votes': [2, 274, 25], 'mean_prob': [0.2082812339067459, 0.44974762201309204, 0.3419710397720337], 'n_epochs': 301}, {'subject_id': 7, 'true_label': 0, 'pred_label': 0, 'votes': [173, 26, 69], 'mean_prob': [0.3543659448623657, 0.31366416811943054, 0.33196958899497986], 'n_epochs': 268}, {'subject_id': 11, 'true_label': 1, 'pred_label': 0, 'votes': [239, 3, 62], 'mean_prob': [0.36779332160949707, 0.2983659505844116, 0.33384060859680176], 'n_epochs': 304}, {'subject_id': 16, 'true_label': 1, 'pred_label': 0, 'votes': [295, 3, 6], 'mean_prob': [0.3955490291118622, 0.2865718901157379, 0.3178791403770447], 'n_epochs': 304}, {'subject_id': 27, 'true_label': 0, 'pred_label': 2, 'votes': [100, 92, 110], 'mean_prob': [0.3096109926700592, 0.34336191415786743, 0.34702688455581665], 'n_epochs': 302}, {'subject_id': 31, 'true_label': 2, 'pred_label': 0, 'votes': [304, 0, 0], 'mean_prob': [0.41018974781036377, 0.2805548310279846, 0.3092557191848755], 'n_epochs': 304}, {'subject_id': 41, 'true_label': 2, 'pred_label': 1, 'votes': [4, 168, 15], 'mean_prob': [0.17617742717266083, 0.509946882724762, 0.31387558579444885], 'n_epochs': 187}]","[[1, 1, 1], [2, 0, 0], [1, 1, 0]]",C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_05_45_clean_p2p300\eegnet\closed\majority_vote\fold_02_best.pt,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_05_45_clean_p2p300\eegnet\closed\majority_vote\fold_02_history.csv,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_05_45_clean_p2p300\eegnet\closed\majority_vote\fold_02_training_plot.png
3,6,0.6666666666666666,majority_vote,"[7, 7, 9]","[1.0799999999999998, 1.0799999999999998, 0.8399999999999999]",0.2857142857142857,0.27777777777777773,0.27777777777777773,0.27777777777777773,0.27777777777777773,0.3055555555555555,"[8, 9, 13, 22, 35, 39, 43]","[1, 2, 0, 2, 0, 2, 1]","[1, 1, 2, 2, 2, 0, 0]","[{'subject_id': 8, 'true_label': 1, 'pred_label': 1, 'votes': [44, 224, 36], 'mean_prob': [0.27357563376426697, 0.39600715041160583, 0.330417275428772], 'n_epochs': 304}, {'subject_id': 9, 'true_label': 2, 'pred_label': 1, 'votes': [46, 197, 56], 'mean_prob': [0.268239289522171, 0.38934776186943054, 0.34241288900375366], 'n_epochs': 299}, {'subject_id': 13, 'true_label': 0, 'pred_label': 2, 'votes': [1, 1, 297], 'mean_prob': [0.06328528374433517, 0.3963759243488312, 0.5403388142585754], 'n_epochs': 299}, {'subject_id': 22, 'true_label': 2, 'pred_label': 2, 'votes': [8, 9, 287], 'mean_prob': [0.10990729182958603, 0.37854716181755066, 0.5115457773208618], 'n_epochs': 304}, {'subject_id': 35, 'true_label': 0, 'pred_label': 2, 'votes': [10, 16, 269], 'mean_prob': [0.11088119447231293, 0.3966297507286072, 0.4924890697002411], 'n_epochs': 295}, {'subject_id': 39, 'true_label': 2, 'pred_label': 0, 'votes': [263, 8, 25], 'mean_prob': [0.5919870734214783, 0.22417403757572174, 0.1838390827178955], 'n_epochs': 296}, {'subject_id': 43, 'true_label': 1, 'pred_label': 0, 'votes': [121, 120, 63], 'mean_prob': [0.36731424927711487, 0.3438440263271332, 0.28884175419807434], 'n_epochs': 304}]","[[0, 0, 2], [1, 1, 0], [1, 1, 1]]",C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_05_45_clean_p2p300\eegnet\closed\majority_vote\fold_03_best.pt,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_05_45_clean_p2p300\eegnet\closed\majority_vote\fold_03_history.csv,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_05_45_clean_p2p300\eegnet\closed\majority_vote\fold_03_training_plot.png
4,26,0.6666666666666666,majority_vote,"[7, 7, 9]","[1.0799999999999998, 1.0799999999999998, 0.8399999999999999]",0.14285714285714285,0.16666666666666666,0.06666666666666667,0.16666666666666666,0.09523809523809523,0.3944444444444444,"[3, 10, 14, 18, 24, 25, 33]","[2, 0, 0, 1, 2, 2, 1]","[1, 1, 1, 1, 1, 0, 2]","[{'subject_id': 3, 'true_label': 2, 'pred_label': 1, 'votes': [35, 188, 79], 'mean_prob': [0.20735910534858704, 0.4981020390987396, 0.29453885555267334], 'n_epochs': 302}, {'subject_id': 10, 'true_label': 0, 'pred_label': 1, 'votes': [1, 299, 0], 'mean_prob': [0.014724928885698318, 0.9703705906867981, 0.014904948882758617], 'n_epochs': 300}, {'subject_id': 14, 'true_label': 0, 'pred_label': 1, 'votes': [14, 117, 15], 'mean_prob': [0.10333997011184692, 0.7428430318832397, 0.15381719172000885], 'n_epochs': 146}, {'subject_id': 18, 'true_label': 1, 'pred_label': 1, 'votes': [0, 277, 27], 'mean_prob': [0.013194222003221512, 0.8820429444313049, 0.104762963950634], 'n_epochs': 304}, {'subject_id': 24, 'true_label': 2, 'pred_label': 1, 'votes': [1, 291, 0], 'mean_prob': [0.021472103893756866, 0.9504562020301819, 0.028071625158190727], 'n_epochs': 292}, {'subject_id': 25, 'true_label': 2, 'pred_label': 0, 'votes': [178, 109, 17], 'mean_prob': [0.4295658767223358, 0.3424178659915924, 0.22801627218723297], 'n_epochs': 304}, {'subject_id': 33, 'true_label': 1, 'pred_label': 2, 'votes': [126, 7, 163], 'mean_prob': [0.4001501798629761, 0.06676672399044037, 0.5330832004547119], 'n_epochs': 296}]","[[0, 2, 0], [0, 1, 1], [1, 2, 0]]",C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_05_45_clean_p2p300\eegnet\closed\majority_vote\fold_04_best.pt,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_05_45_clean_p2p300\eegnet\closed\majority_vote\fold_04_history.csv,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_05_45_clean_p2p300\eegnet\closed\majority_vote\fold_04_training_plot.png
5,34,0.5,majority_vote,"[7, 7, 9]","[1.0799999999999998, 1.0799999999999998, 0.8399999999999999]",0.42857142857142855,0.38888888888888884,0.3333333333333333,0.38888888888888884,0.35714285714285715,0.3277777777777778,"[5, 15, 20, 21, 23, 26, 38]","[0, 2, 2, 1, 1, 0, 2]","[0, 1, 2, 2, 0, 2, 2]","[{'subject_id': 5, 'true_label': 0, 'pred_label': 0, 'votes': [252, 50, 2], 'mean_prob': [0.6433811187744141, 0.22259366512298584, 0.13402515649795532], 'n_epochs': 304}, {'subject_id': 15, 'true_label': 2, 'pred_label': 1, 'votes': [64, 223, 17], 'mean_prob': [0.20396688580513, 0.6293789148330688, 0.1666540652513504], 'n_epochs': 304}, {'subject_id': 20, 'true_label': 2, 'pred_label': 2, 'votes': [17, 8, 279], 'mean_prob': [0.14140956103801727, 0.0926617980003357, 0.7659287452697754], 'n_epochs': 304}, {'subject_id': 21, 'true_label': 1, 'pred_label': 2, 'votes': [92, 6, 206], 'mean_prob': [0.3682824373245239, 0.07185601443052292, 0.5598613619804382], 'n_epochs': 304}, {'subject_id': 23, 'true_label': 1, 'pred_label': 0, 'votes': [259, 9, 34], 'mean_prob': [0.6714059114456177, 0.06670565903186798, 0.26188841462135315], 'n_epochs': 302}, {'subject_id': 26, 'true_label': 0, 'pred_label': 2, 'votes': [0, 14, 284], 'mean_prob': [0.010936232283711433, 0.11209513247013092, 0.8769680857658386], 'n_epochs': 298}, {'subject_id': 38, 'true_label': 2, 'pred_label': 2, 'votes': [10, 0, 294], 'mean_prob': [0.2274007350206375, 0.07993284612894058, 0.6926664113998413], 'n_epochs': 304}]","[[1, 0, 1], [1, 0, 1], [0, 1, 2]]",C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_05_45_clean_p2p300\eegnet\closed\majority_vote\fold_05_best.pt,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_05_45_clean_p2p300\eegnet\closed\majority_vote\fold_05_history.csv,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\models\eegnet_2s_05_45_clean_p2p300\eegnet\closed\majority_vote\fold_05_training_plot.png
