,test_subject_accuracy,test_subject_balanced_accuracy,test_subject_macro_precision,test_subject_macro_recall,test_subject_macro_f1,test_subject_macro_auc_ovr
mean,0.3,0.2777777777777778,0.21888888888888886,0.2777777777777778,0.24126984126984125,0.35888888888888887
std,0.16288220358559113,0.1416394309331329,0.13342589379802733,0.1416394309331329,0.13867330206811684,0.16967652594507623
